timestamp,x (in G's),y (in G's),z (in G's)
1449472199,0.108353,-1.039337,0.059998
1449472199,0.107208,-1.037094,0.059723
1449472199,0.063919,-1.168671,0.09256
1449472199,0.039978,-1.372147,0.167496
1449472199,0.019501,-1.161621,0.171829
1449472199,0.032791,-0.831482,0.223785
1449472199,-0.158203,-0.681335,0.226089
1449472199,-0.264908,-0.866577,0.20932
1449472199,-0.23909,-1.173477,0.167343
1449472199,-0.127518,-1.065125,0.12059
1449472199,-0.067719,-0.838623,0.095505
1449472199,-0.13356,-0.887115,0.07756
1449472200,-0.154633,-0.985138,0.081116
1449472200,-0.153961,-0.994507,0.080139
1449472200,-0.099274,-0.925278,0.070801
1449472200,-0.116257,-1.006836,0.080093
1449472200,-0.074234,-1.062851,0.095062
1449472200,-0.097,-1.202072,0.074432
1449472200,0.105255,-1.324814,0.147354
1449472200,0.113556,-0.764954,0.222855
1449472200,0.109863,-0.830841,0.26799
1449472200,0.223236,-0.96463,0.249176
1449472200,0.388596,-0.953262,0.284302
1449472200,0.315292,-1.069336,0.307007
1449472200,0.144333,-1.058746,0.265137
1449472200,0.151016,-0.902313,0.272247
1449472200,0.203201,-0.887573,0.238708
1449472200,0.233368,-0.928558,0.219513
1449472200,0.2323,-0.985657,0.161621
1449472200,0.186279,-1.019608,0.155914
1449472200,0.131165,-0.999466,0.15213
1449472200,0.104889,-0.929901,0.119263
1449472201,0.09758,-0.958984,0.132034
1449472201,0.039307,-1.05162,0.085892
1449472201,0.022537,-1.037155,0.115417
1449472201,-0.016739,-0.945175,0.059097
1449472201,-0.044907,-1.036301,0.09877
1449472201,-0.153397,-1.002243,0.064133
1449472201,-0.158417,-1.040985,0.02626
1449472201,-0.054031,-1.041183,0.051071
1449472201,-0.069733,-0.947128,0.03569
1449472201,-0.098343,-0.982101,0.095947
1449472201,-0.218307,-1.021362,0.160751
1449472201,-0.256363,-1.015518,0.119934
1449472201,-0.224289,-1.007904,0.135071
1449472201,-0.313675,-1.000595,0.125992
1449472201,-0.201965,-0.960266,0.123901
1449472201,-0.119217,-0.971634,0.044601
1449472201,-0.044861,-1.074463,0.041214
1449472201,0.014114,-1.051483,0.045456
1449472201,0.034409,-0.991348,-0.078705
1449472201,0.164429,-0.980362,0.052383
1449472201,0.250961,-0.950821,0.129089
1449472202,0.196289,-1.086853,-0.075409
1449472202,0.14653,-0.957474,-0.001053
1449472202,0.057083,-0.945175,0.058212
1449472202,0.161118,-1.021881,-0.057922
1449472202,0.120483,-0.914825,-0.082474
1449472202,-0.015533,-0.883377,-0.037766
1449472202,-0.08577,-1.032166,-0.04248
1449472202,-0.076859,-1.140488,-0.041794
1449472202,-0.018829,-1.041733,-0.053665
1449472202,-0.003403,-0.971893,-0.049911
1449472202,-0.045013,-0.923035,-0.016556
1449472202,-0.095078,-0.986328,0.001419
1449472202,-0.097275,-1.008743,0.016174
1449472202,-0.05661,-1.033875,0.00148
1449472202,-0.011597,-1.084366,-0.007324
1449472202,0.020142,-1.040817,0.013016
1449472202,-0.050674,-1.0737,0.039734
1449472202,-0.101303,-1.11557,0.08992
1449472202,-0.272568,-1.261139,0.242493
1449472202,-0.31691,-1.005249,0.312134
1449472202,-0.262497,-0.777191,0.328552
1449472203,-0.133682,-0.930832,0.316589
1449472203,-0.137177,-1.213333,0.337509
1449472203,-0.127182,-1.091553,0.166061
1449472203,-0.056656,-1.097107,0.102158
1449472203,-0.029526,-1.009613,0.091904
1449472203,0.008514,-1.007111,0.03389
1449472203,-0.017258,-0.989746,0.029449
1449472203,0.042084,-0.95636,-0.009781
1449472203,0.057816,-0.97081,-0.035675
1449472203,0.13826,-1.070221,-0.07193
1449472203,0.114426,-1.055313,-0.058594
1449472203,0.087753,-1.063736,-0.084381
1449472203,0.116653,-0.657654,-0.089111
1449472203,0.203033,-0.360519,-0.069382
1449472203,0.135391,-0.385529,-0.105392
1449472203,0.345428,-0.407761,-0.17038
1449472203,0.296173,-0.756058,-0.187317
1449472203,0.451431,-0.77916,-0.098267
1449472203,0.562958,-0.768738,-0.187546
1449472203,0.506821,-0.909576,-0.011612
1449472204,0.678696,-0.81366,0.047913
1449472204,0.703812,-0.769302,0.119247
1449472204,0.632477,-0.708527,0.258636
1449472204,0.587463,-0.67717,0.360245
1449472204,0.660904,-0.822388,0.418839
1449472204,0.561035,-0.83432,0.70372
1449472204,0.722153,-1.086884,0.67836
1449472204,0.547913,-0.916611,0.791321
1449472204,0.432373,-1.197739,0.788589
1449472204,0.248154,-1.041977,0.589569
1449472204,0.268127,-1.236679,0.376358
1449472204,-0.150253,-1.924866,0.107422
1449472204,-0.335541,-1.266876,-0.061264
1449472204,-0.502655,-0.544312,-0.011139
1449472204,-0.505859,-0.579391,-0.106171
1449472204,-0.399536,-0.899063,-0.086746
1449472204,-0.355652,-0.950806,-0.095474
1449472204,-0.258896,-0.931854,-0.097992
1449472204,-0.456345,-0.898712,-0.139664
1449472204,-0.446854,-1.058426,-0.173813
1449472204,-0.391464,-0.878281,-0.215637
1449472205,-0.341827,-0.83815,-0.18306
1449472205,-0.289917,-0.932739,-0.094894
1449472205,-0.312714,-1.096283,-0.111938
1449472205,-0.183029,-1.146988,-0.052032
1449472205,-0.132355,-0.912186,-0.04985
1449472205,-0.043594,-0.752823,-0.003952
1449472205,-0.040512,-0.918549,0.019592
1449472205,0.019684,-0.966537,0.074554
1449472205,0.169266,-1.129486,0.143799
1449472205,0.285629,-1.360977,0.175064
1449472205,0.272034,-1.157211,0.236572
1449472205,0.279602,-0.99617,0.246643
1449472205,0.213654,-0.767059,0.347977
1449472205,0.004471,-0.635696,0.304352
1449472205,0.149567,-1.018341,0.152039
1449472205,0.192627,-1.066544,0.225189
1449472205,-0.0457,-1.01796,0.112396
1449472205,-0.181671,-1.142548,0.080643
1449472205,-0.267426,-1.047424,0.058533
1449472205,-0.192993,-1.026703,-0.021744
1449472205,-0.163055,-1.018143,-0.057327
1449472206,-0.125031,-0.976639,-0.178497
1449472206,-0.234695,-0.862366,-0.214874
1449472206,-0.330475,-0.853485,-0.297943
1449472206,-0.441238,-0.830505,-0.383514
1449472206,-0.472488,-0.936417,-0.291962
1449472206,-0.256439,-0.89473,-0.172348
1449472206,-0.187332,-0.921692,-0.16214
1449472206,-0.272385,-0.961151,-0.047516
1449472206,-0.306335,-1.026779,-0.061234
1449472206,-0.223358,-1.008087,0.011475
1449472206,-0.129684,-1.016037,0.07962
1449472206,0.048248,-1.085892,0.131805
1449472206,0.126617,-1.175018,0.215332
1449472206,0.229065,-1.116791,0.379089
1449472206,0.283585,-0.942337,0.394669
1449472206,0.133926,-0.82135,0.367813
1449472206,0.144745,-0.750168,0.325134
1449472206,0.130936,-0.890152,0.273163
1449472206,0.013092,-1.026077,0.22435
1449472206,-0.042877,-1.087265,0.127396
1449472207,-0.101456,-1.122391,0.064316
1449472207,-0.117157,-1.014954,0.043884
1449472207,-0.023346,-1.044418,-0.024429
1449472207,-0.069199,-0.97728,-0.032547
1449472207,-0.061249,-0.992737,-0.101593
1449472207,-0.115295,-1.036606,-0.188766
1449472207,-0.069901,-0.970337,-0.215134
1449472207,-0.140549,-0.906815,-0.22728
1449472207,-0.178314,-0.927643,-0.210526
1449472207,-0.134491,-1.060822,-0.205307
1449472207,-0.059402,-0.927185,-0.183975
1449472207,0.003738,-0.964005,-0.087357
1449472207,-0.005966,-1.005478,-0.086014
