@relation EveryThing

@attribute Class numeric
@attribute AvgX numeric
@attribute AvgY numeric
@attribute AvgZ numeric
@attribute AvgTX1 numeric
@attribute ' AvgTX2' numeric
@attribute AvgTY1 numeric
@attribute AvgTY2 numeric
@attribute AvgTZ1 numeric
@attribute AvgTZ2 numeric
@attribute StdX numeric
@attribute StdY numeric
@attribute StdZ numeric
@attribute StdTX1 numeric
@attribute StdTX2 numeric
@attribute StdTY1 numeric
@attribute StdTY2 numeric
@attribute StdTZ1 numeric
@attribute StdTZ2 numeric
@attribute AbsDiffX numeric
@attribute AbsDiffY numeric
@attribute AbsDiffZ numeric
@attribute AbsDiffTX1 numeric
@attribute AbsDiffTX2 numeric
@attribute AbsDiffTY1 numeric
@attribute AbsDiffTY2 numeric
@attribute AbsDiffTZ1 numeric
@attribute AbsDiffTZ2 numeric
@attribute AvgResultantXYZ numeric
@attribute AvgResultantTXYZ numeric

@data
2,0.036847,-0.98939,-0.064236,3.1,2.2,5.8,4.2,3.5,5.8,0.044822,0.11335,0.043796,1.6827,1.1965,4.2003,2.1909,1.0513,1.6416,0.031497,0.075884,0.035911,1.34,1.04,3.76,1.84,0.9,1.44,306.79,2071.4
2,0.014086,-0.99675,-0.061758,2.3,2.6,1.4,1.6,1.6,2.6,0.032163,0.03121,0.033114,0.92338,1.2312,0.68056,1.2312,0.94032,1.5355,0.026153,0.022809,0.028448,0.76,1.12,0.56,0.96,0.72,1.28,328,2217.2
2,0.006741,-1.0005,-0.037107,2.4,1.8,2.9,2.8,2.1,3,0.029257,0.060509,0.02228,1.6026,0.41039,1.6827,1.6416,1.1653,1.1239,0.020418,0.042904,0.016621,1.28,0.32,1.28,1.44,0.94,0.8,349.68,2365.5
2,-0.000533,-1.0008,-0.019009,2,2.8,3.1,1.6,2.8,4.8,0.032483,0.060629,0.038516,1.026,0.76777,2.7319,1.2312,1.2814,3.2703,0.026392,0.037176,0.030677,0.8,0.64,1.58,0.96,1.04,2.96,371.82,2519.2
2,-0.052033,-0.99833,-0.066405,2.7,2.2,3,1.8,2.2,3.4,0.038245,0.050568,0.045756,1.5927,1.1965,1.8918,1.1965,0.89443,2.1126,0.030987,0.036343,0.036335,1.3,1.04,1.6,0.96,0.68,1.92,394.41,2675.8
2,-0.12001,-0.96689,-0.24493,2,2.4,2,1,1.7,2.8,0.049028,0.027196,0.024891,1.3765,1.0463,1.026,0,0.92338,1.6416,0.035308,0.019531,0.018202,1.2,0.88,0.8,0,0.7,1.44,417.45,2835.7
2,-0.14962,-0.95513,-0.25684,2.2,2.2,2.6,2,2.4,3,0.040111,0.041525,0.030584,0.61559,1.1965,1.0463,0.64889,1.3139,0.64889,0.029111,0.030667,0.024499,0.48,1.04,0.88,0.4,1.2,0.4,440.92,2997.8
2,-0.13743,-0.9919,-0.26863,3.4,2.6,4.4,2.2,4.4,5.4,0.045985,0.072219,0.045908,2.7985,1.667,2.2572,1.1965,2.6438,1.9029,0.036697,0.05516,0.038513,2.36,1.52,1.68,1.04,2.4,1.68,464.83,3164.4
2,-0.10069,-0.97602,-0.24953,2.5,1.8,2.6,2.4,3.3,4.8,0.044564,0.059486,0.05258,1.6702,0.41039,2.6036,1.0463,1.8382,3.9683,0.034528,0.035273,0.043109,1.1,0.32,1.56,0.88,1.62,3.76,489.18,3338.3
2,0.018051,-0.96458,-0.21716,2.4,1.6,2.2,1.8,1.9,2,0.037651,0.037313,0.021606,1.4654,0.82078,1.1965,0.76777,1.3338,1.5894,0.028285,0.029621,0.017213,1.16,0.72,0.88,0.64,1.08,1.2,513.94,3514.4
2,0.14948,-0.9815,-0.16445,2.7,3.6,1.5,1.4,1.4,1.6,0.062796,0.024709,0.018918,1.78,1.667,0.68825,0.50262,0.50262,0.82078,0.050249,0.020739,0.016504,1.5,1.28,0.6,0.48,0.48,0.72,539.1,3692.7
2,0.19031,-0.9616,-0.22763,2.7,1.8,2.8,1.8,1.9,3.8,0.03316,0.047379,0.041119,1.6575,1.1965,1.2814,1.1965,1.2524,2.0926,0.027896,0.033793,0.033787,1.3,0.96,1.04,0.96,1.08,1.76,564.66,3873.6
2,0.11869,-0.94123,-0.26569,2.5,2.4,1.5,1.8,2.5,2.6,0.045456,0.044075,0.034561,1.2354,1.2312,0.82717,1.0052,1.2354,1.3917,0.034392,0.032941,0.025967,1,1.12,0.7,0.96,1,1.12,590.6,4056.6
2,0.077254,-0.94242,-0.30292,2.1,2.6,1.8,2.4,2,2.6,0.031023,0.039027,0.025316,1.2524,0.82078,0.41039,0.82078,0.91766,1.3917,0.023314,0.031527,0.019372,1.12,0.64,0.32,0.72,0.6,1.12,616.92,4241.7
2,0.052825,-0.94633,-0.3105,1.5,1.2,2.1,1.6,1.3,2.4,0.018028,0.030129,0.016882,0.68825,0.41039,1.0712,0.82078,0.65695,1.0463,0.015344,0.024236,0.013918,0.6,0.32,0.76,0.72,0.48,0.88,643.62,4428.3
2,0.056709,-0.95139,-0.29566,1.4,1.8,1.5,1.6,1.6,2.4,0.025682,0.031314,0.017653,0.68056,1.0052,0.68825,1.2312,1.0463,1.0463,0.019637,0.021381,0.01337,0.56,0.96,0.6,0.96,0.84,0.88,670.69,4616.1
2,0.043229,-0.94773,-0.29334,2,1.8,2.1,1.8,2.2,1.6,0.021177,0.038256,0.017291,1.026,1.0052,1.4105,0.76777,1.3611,0.82078,0.015627,0.031705,0.013039,0.8,0.96,1.14,0.64,1.08,0.72,698.12,4805.4
2,0.030133,-0.94731,-0.29505,1.8,1.8,1.6,1.8,3,2.6,0.018452,0.032076,0.026298,0.61559,0.76777,0.68056,0.76777,1.2978,1.667,0.01572,0.021698,0.022457,0.48,0.64,0.6,0.64,1.2,1.52,725.91,4996.3
2,0.026692,-0.94842,-0.28517,2.2,1.8,1.6,2,1.8,3,0.02129,0.028741,0.020775,1.2814,0.41039,0.94032,0.64889,0.76777,1.9467,0.016453,0.021991,0.015354,1.08,0.32,0.72,0.4,0.64,1.6,754.05,5189.1
2,0.018169,-0.96038,-0.26875,3,1.4,2.1,1.8,1.8,2.8,0.026648,0.034428,0.027823,1.5218,0.50262,1.1653,0.76777,1.0052,1.7652,0.020589,0.029241,0.018927,1.2,0.48,0.94,0.64,0.8,1.36,782.54,5383.4
2,0.024866,-0.96642,-0.2351,2.4,1.6,2.9,2,2.4,4.2,0.026177,0.047475,0.028213,1.1425,0.50262,1.4832,1.2978,1.4654,1.6416,0.021768,0.038247,0.023216,1,0.48,1.32,1.2,1.28,1.44,811.38,5580.2
2,0.008943,-0.9568,-0.25705,2.5,2,1.4,2.2,2.3,2.8,0.024773,0.030104,0.023874,1.469,0,0.50262,0.76777,1.2183,1.0052,0.019751,0.025375,0.018121,1.3,0,0.48,0.64,0.96,0.72,840.56,5779.4
2,0.02934,-0.9629,-0.25156,1.9,2.2,1.9,2.4,2.9,2.8,0.025485,0.042512,0.028526,1.3338,1.0052,1.2524,1.0463,1.619,1.5079,0.020448,0.031205,0.021042,1.08,0.72,0.9,0.88,1.3,1.36,870.08,5980.7
2,0.033739,-0.95954,-0.24436,2.5,1.8,3.4,1.2,3.2,4.6,0.024134,0.046497,0.038627,0.94591,0.76777,1.5355,0.41039,2.6278,2.1126,0.019434,0.037926,0.033641,0.8,0.64,1.4,0.32,2.08,1.92,899.93,6184.5
2,0.037992,-0.95766,-0.2379,1.6,1.6,2.8,1.6,2,4.2,0.02064,0.044845,0.029494,0.68056,0.82078,1.6416,0.82078,1.026,1.7652,0.016182,0.032144,0.025961,0.6,0.72,1.04,0.72,0.8,1.44,930.11,6391
2,0.046323,-0.96394,-0.2343,2.1,2.4,1.9,1.4,1.1,2.8,0.024583,0.029831,0.021733,1.1653,0.50262,1.0712,0.50262,0.30779,1.6416,0.019864,0.021804,0.017282,0.94,0.48,0.9,0.48,0.18,1.28,960.61,6599.6
2,0.030077,-0.96009,-0.21733,1.9,1.2,1.7,1.4,1.6,2.2,0.018112,0.027754,0.021734,1.0712,0.41039,1.2183,0.50262,0.68056,0.76777,0.014365,0.02006,0.018133,0.9,0.32,0.98,0.48,0.6,0.64,991.43,6809.2
2,0.040647,-0.96479,-0.21667,1.6,1.4,1.8,2.2,1.9,3,0.019177,0.039179,0.030642,0.82078,0.50262,1.0052,0.76777,1.0712,1.451,0.015394,0.031763,0.024832,0.72,0.48,0.96,0.64,0.9,1.2,1022.6,7020.2
2,0.070165,-0.95781,-0.22314,1.8,1.2,1.7,1.8,1.8,2,0.019133,0.025735,0.021145,1.0052,0.41039,0.65695,0.41039,0.76777,0.64889,0.015292,0.019816,0.016392,0.8,0.32,0.56,0.32,0.64,0.4,1054,7232.3
2,0.039674,-0.96552,-0.20212,2,1.2,1.3,1.6,1.6,1.4,0.026941,0.025467,0.01676,0.91766,0.41039,0.47016,0.82078,0.82078,0.82078,0.021771,0.020773,0.01369,0.6,0.32,0.42,0.72,0.72,0.64,1085.8,7445.3
2,0.015014,-0.97182,-0.17907,2,1.6,1.9,1.4,1.2,1.2,0.021122,0.028792,0.009164,1.1239,0.82078,0.85224,0.50262,0.41039,0.41039,0.015936,0.021323,0.007608,1,0.72,0.72,0.48,0.32,0.32,1117.8,7659.3
2,0.015864,-0.97547,-0.1702,1.7,1.4,1.7,1.8,1.5,1.8,0.014162,0.029896,0.01281,0.47016,0.50262,0.65695,1.0052,0.68825,1.1965,0.011627,0.023307,0.010345,0.42,0.48,0.56,0.96,0.6,0.96,1150.2,7874.2
2,0.017794,-0.97131,-0.16889,1.9,1,1.3,1,1.7,1.8,0.014555,0.017987,0.014041,0.85224,0,0.47016,0,0.80131,1.1965,0.011993,0.015298,0.011771,0.72,0,0.42,0,0.7,0.96,1182.9,8089.8
2,0.008811,-0.97802,-0.16213,2,1.6,1.5,1.4,2,2,0.020706,0.027777,0.01835,0.91766,1.2312,0.68825,0.50262,0.79472,0.64889,0.01529,0.020856,0.01357,0.8,0.96,0.6,0.48,0.4,0.4,1215.8,8306.3
2,-0.005406,-0.97296,-0.15893,1.5,1,1.3,1.4,1.7,1.8,0.013999,0.026979,0.019313,0.68825,0,0.47016,0.50262,1.2183,0.76777,0.011373,0.021433,0.01397,0.6,0,0.42,0.48,0.84,0.64,1249.1,8523.7
2,-0.004535,-0.98246,-0.15715,1.8,1.4,1.6,1.6,1.5,1.6,0.018814,0.027551,0.015425,0.61559,0.82078,0.82078,0.82078,1.2354,1.2312,0.01448,0.02157,0.010826,0.48,0.64,0.72,0.72,0.8,0.96,1282.7,8742
2,-0.001139,-0.9788,-0.13983,2,1.8,1.4,2.2,1.9,4,0.021769,0.034587,0.028037,1.214,0.41039,0.50262,0.76777,1.3338,1.9467,0.01738,0.029174,0.023425,1,0.32,0.48,0.64,1.08,1.6,1316.5,8961.7
2,-0.017036,-0.98597,-0.10241,2.3,1.6,2.5,1.6,3.4,3,0.029216,0.040706,0.035779,1.3018,1.2312,1.2354,1.2312,2.0105,1.2978,0.022376,0.030711,0.028733,1.02,0.96,1,0.96,1.48,1.2,1350.6,9183.7
2,-0.028307,-0.99982,-0.065388,1.5,2.2,2.1,2.2,2,3.2,0.026006,0.042518,0.02824,0.68825,1.6416,1.2524,1.5079,0.79472,2.3753,0.017955,0.028966,0.021345,0.6,1.44,1.12,1.12,0.6,2.24,1385.1,9407.9
2,0.00583,-0.99464,-0.083651,1.9,1.4,1.3,1,1.6,2.6,0.021955,0.01254,0.02377,0.71818,0.82078,0.65695,0,0.94032,2.3033,0.018608,0.009111,0.017472,0.54,0.64,0.48,0,0.72,1.76,1419.8,9633.4
2,0.005211,-0.99382,-0.086552,1.6,1,1,1,1.8,2.2,0.016581,0.011519,0.020673,0.94032,0,0,0,1.2814,1.1965,0.012904,0.009026,0.015755,0.72,0,0,0,0.96,1.04,1454.8,9859.6
2,0.017142,-0.97966,-0.15692,1.2,1,1,1,1.1,1.6,0.019302,0.013576,0.036041,0.41039,0,0,0,0.30779,0.50262,0.014562,0.010335,0.027707,0.32,0,0,0,0.18,0.48,1490.1,10086
2,0.032507,-0.96883,-0.19824,1.2,1,1,1,1.4,2,0.007823,0.010745,0.013415,0.41039,0,0,0,0.50262,1.1239,0.005416,0.008887,0.009601,0.32,0,0,0,0.48,0.8,1525.6,10314
2,0.025899,-0.96962,-0.19511,1,1,1,1,1.1,1,0.004816,0.006963,0.005572,0,0,0,0,0.30779,0,0.003903,0.006125,0.00468,0,0,0,0,0.18,0,1561.5,10541
2,0.020201,-0.97314,-0.18648,1,1,1,1,1,1.2,0.003971,0.006843,0.004185,0,0,0,0,0,0.41039,0.003382,0.005653,0.00326,0,0,0,0,0,0.32,1597.6,10769
2,0.018068,-0.97152,-0.18746,1.1,1,1,1,1,1,0.005026,0.004784,0.004107,0.30779,0,0,0,0,0,0.003442,0.003747,0.003307,0.18,0,0,0,0,0,1634,10997
2,0.018008,-0.96746,-0.20111,1.2,1.2,1,1,1.1,1.4,0.007666,0.007366,0.010817,0.41039,0.41039,0,0,0.30779,0.50262,0.005336,0.00642,0.008651,0.32,0.32,0,0,0.18,0.48,1670.6,11226
2,0.050237,-0.95806,-0.26132,1,1,1,1,1.3,2,0.027155,0.013664,0.059666,0,0,0,0,0.47016,1.2978,0.024172,0.011259,0.052894,0,0,0,0,0.42,1.2,1707.5,11455
2,0.092409,-0.93773,-0.34838,1,1.2,1,1,1.1,1.6,0.00758,0.010296,0.011022,0,0.41039,0,0,0.30779,0.50262,0.005812,0.007723,0.009408,0,0.32,0,0,0.18,0.48,1744.7,11684
